s1,s2,result
9.52372e+10,9.20109e+11,-8.24872e+11
9.52372e+10,6.97672e+11,-6.02435e+11
1.11742e+11,5.92783e+11,-4.81041e+11
8.29967e+10,4.53679e+11,-3.70682e+11
8.29967e+10,3.18205e+11,-2.35208e+11
6.61158e+10,1.88495e+11,-1.22379e+11
7.3048e+10,9.29351e+10,-1.9887e+10
7.3048e+10,9.29351e+10,-1.9887e+10
9.25737e+10,5.28795e+10,3.96942e+10
9.25737e+10,1.18953e+11,-2.63796e+10
1.22782e+11,1.72251e+11,-4.94694e+10
1.22782e+11,1.72251e+11,-4.94694e+10
1.22782e+11,1.72251e+11,-4.94694e+10
